,gene,logFC,AveExpr,P.Value,FDR
KRT80,KRT80,0.398975819413802,7.09057184230902,7.90703362035232e-17,2.82547654637746e-15
CENPE,CENPE,0.398699532740311,6.85802019868355,8.97855254211349e-43,1.91958409773253e-40
CPSF1,CPSF1,0.398248485928591,8.2184994277953,6.00729711062925e-47,1.51552091506955e-44
ELOVL5,ELOVL5,-0.397913937451351,8.95561685679382,2.90969821175923e-15,8.6870847912736e-14
LOC642255,LOC642255,0.397559420712892,6.66990200744025,1.61243048308355e-97,2.54239976420198e-94
PCM1,PCM1,-0.396792772256319,8.86450717330588,2.05142857526354e-32,2.81268696177982e-30
CLIC6,CLIC6,-0.396570513678635,8.30815626607236,0.000296097056865712,0.00142068021122255
CPNE3,CPNE3,0.396450911549254,10.4097620133354,2.23008498519092e-52,6.69768857219006e-50
PON3,PON3,-0.39643828009018,6.86144588247327,4.51198516539176e-09,5.29680603780843e-08
GDPD3,GDPD3,0.395967192069351,6.53476729918665,4.37773558342026e-23,2.88359042554899e-21
CKAP2L,CKAP2L,0.395480597520423,6.61875603889349,1.90197558136981e-36,3.33215555324984e-34
CXCL14,CXCL14,-0.39543630836457,8.33284669966842,4.38132282888082e-07,3.656368254284e-06
SORBS2,SORBS2,-0.394208608246677,7.5695467435486,1.54697911218379e-15,4.79449496832588e-14
TK1,TK1,0.394118910355878,8.21223704462508,1.15075039824857e-19,5.46725631770525e-18
CXCL9,CXCL9,0.393973706731126,8.37646525708104,4.46713145058044e-06,3.12516576956696e-05
CENPM,CENPM,0.393919247731233,7.26043041810803,3.03530208884322e-31,3.77214783730723e-29
SERPINA11,SERPINA11,-0.393298724589963,6.69762348228129,1.34075352725574e-09,1.71263442965103e-08
KIAA1429,KIAA1429,0.391557169083807,8.02479602613327,2.03909809678582e-51,5.84572349837643e-49
